Dialogue,Manipulative
"Person1: It's just that, you know, I was thinking about how, in class, you're always telling us 'that writers make choices -- at least the good ones. And, don't get me wrong. I'm not saying the book isn't really great -- I mean, really great -- but at times it's, well, very detailed, you know, with the genealogies of everyone's horses and all the dental records and so on -- and I don't know, maybe I'm wrong, but it sort of reads, in places, like, well, actually, like...  ...you didn't make any choices at all. And I was wondering if it might not be different if, maybe, when you wrote, you weren't always... under the influence.
Person2: Uh huh. Well, thanks for the thought, but, as shocking as this may sound, I'm not the first writer to sip a little weed. And furthermore, it might interest you to know that one book I wrote, as you say, 'under the influence,' happened to win a little something called the PEN award which, by the way, I accepted 'under the influence.'",1
"Person1: What do you want from me, Jack?  Name it.  You want money?
Person2: You gonna write me a check?
Person1: We'll go to my bank.  I'll make a withdrawal.",0
"Person1: How am I a hypocrite?
Person2: Oh please Annette. You spend all your time preaching about waiting for love. Well here it is. Right in front of you, but you're going to turn your back on it. I'm sorry that we're not at the age where we can get married. If we were, I'd propose, but that's not going to happen. So I guess we're just in a tough situation. I'll move on, but you... you're going to have to live with yourself knowing you've turned your back on love. And that makes you a hypocrite.",1
"Person1: Do you know how to count?
Person2: Of course I do?  Bring them up!
Person1: Jeanne... that is not ten thousand reinforcements -- that is one hundred very loyal but very tired soldiers.
Person2: But... where is Dunois... where are the men the king promised me?
Person1: He never sent them... Don't you understand?  He doesn't want this war anymore... he has his crown now, that's all he ever wanted...
Person2: But my voices... they promised me...
Person1: To hell with your voices -- it's time to face facts!  We have nothing to do here... none of us... not even you.  You should go home, Jeanne.",1
"Person1: Luke, you probably don't remember me, Roscoe Fitts, I'm the grocer here in town.
Person2: Good to meet you.  Again.
Person1: Like Ernie said, we're all glad to have you back.
Person2: Thanks.
Person1: And I hear you and Harry are planning on re-opening the Bijou.
Person2: We're gonna try.  Place needs a lot of work.
Person1: I can only imagine.  You know, I spoke with your Dad last year about maybe taking the Bijou off his hands.  I don't think he gave it very much thought.
Person2: Well, he loves the place.  It's his home.
Person1: Luke, I'm hopping you can help him see the reality of the situation. I'll come to the point.  I want to buy the property, and I'm prepared to offer six-thousand dollars for it.  And that's just for the property, mind you.  If you want, I'll leave it to you and your father to dismantle and liquidate the building for whatever salvage value it has, and you keep those proceeds.  I just want the land.
Person2: That's... well, that's very generous, but if you've already got a store...?
Person1: The days of the storefront grocery are numbered.  I plan on putting up a free-standing supermarket.
Person2: A super market.  Huh.
Person1: You think it over.  No reason to risk financial ruin for the sake of a crumbling old building.",1
"Person1: My father's company imports and exports. Archaeology is part of the business. We happen to get along just fine, smartass. Look, why don't you bust somebody else's balls for a change.
Person2: I thought you meant...
Person1: You thought I meant...too tough to apologize, huh? You must have been a very lonely girl.",1
"Person1: I found out you've been undermining my proposals to the board.
Person2: I just gave them a different perspective, that's all.
Person1: You don't want to go down this road with me. I've always played fair with you.
Person2: I didn't see it as undermining. I just voiced my concerns.
Person1: Next time, voice them to me first. Let's keep our disagreements in-house.",1
"Person1: I'm sorry about getting on your case earlier.  I just see you getting sucked in deeper and deeper, and I -- anyway.  I'm sorry.
Person2: S'okay.  I know you still love me.",0
"Person1: I've seen lots of people.  It's not a big thing for me.
Person2: Hand me a towel.  I'm getting out.
Person1: I'm coming in.
Person2: I don't want you to!
Person1: We're not gonna do anything.
Person2: Why are you so stupid?
Person1: Why are you so uptight?
Person2: I don't even...what do you mean?  I don't even know what that means.
Person1: It means I'm gonna shampoo my hair and stay out of your way.
Person2: Hand me a towel.  Hand me a towel.",1
"Person1: Jabez Stone -- did you or did you not sign this document?
Person2: Yes, I did -- but you tricked me into signing it! You told me my soul was nothing ... that I could forget all about a soul, in exchange for money. That was a lie, a lie, a lie.
Person1: That is highly irrelevant to this case, Your Honor.",1
"Person1: It is not beautiful.
Person2: You read my thoughts, Mr. Holland.
Person1: It's easy enough to read the thoughts of a newcomer. Everything seems beautiful because you don't understand.  Those flying fish -- they are not leaping for joy. They're jumping in terror.  Bigger fish want to eat them. That luminous water -- it takes its gleam from millions of tiny dead bodies. It's the glitter of putrescence.  There's no beauty here -- it's death and decay.
Person2: You can't really believe that.",1
"Person1: I hate having my picture taken.
Person2: You're crazy. The camera loves you, Vanessa.",1
"Person1: What are you doing?
Person2: He has no heartbeat!
Person1: You're hurting him!!
Person2: I'm massaging his heart. I saw it done once.
Person1: ARE YOU CRAZY?!! STOP IT!!!
Person2: LISTEN TO ME! IF I DON'T DO THIS, HE'S DEAD!",1
"Person1: It's just an innocent question.  Besides I just wanted to clarify your intentions.
Person2: Whaddya mean?
Person1: Well I just wanted to make sure you know, fully and completely, that you're never gonna get any from me, at least in this lifetime.",0
"Person1: Now listen up, Ruben.  You never, never, never mess with somebody inside the case!
Person2: Excuse me?  Excuse me?!  What do you...
Person1: You damn well better start working on that impulse control.  A woman who is implicated in this case? Someone who's practically a piece of evidence?
Person2: It's against your rules that I try to help a witness who's scared shitless?  Who's...
Person1: The woman's unstable.  You could wind up with a harassment charge. Anything.  You're like some horny little teenager.",1
"Person1: Please be a little more careful how you talk, Mr. Mitchell.
Person2: How careful should I be?
Person1: I don't like being referred to as babe, or addressed as baby. I don't like your possessive attitude, nor your hints of secret knowledge. In fact, to be very frank, Mr. Mitchell, I don't think I like you.
Person2: Maybe you're going to have to like me.",1
"Person1: I've analyzed the data, and I think we should switch our marketing strategy to target a younger demographic.
Person2: Oh, Lucas, always with a new theory. You think you’re so smart.
Person1: It's not about thinking I'm smart, Nina. It's about adapting to the market.
Person2: Maybe we should get more opinions before making any drastic changes.
Person1: That's fair. Let's discuss it in the next team meeting.",1
"Person1: Just souvenirs.  Towels and stuff.
Person2: You1re leaving, too?
Person1: I never wanted to hurt anybody.  In fact... I even thought I was helping.",1
"Person1: What's going on?
Person2: Your capacity for self-delusion is remarkable, Dr. Singer.",1
"Person1: And this hand... it... it slashed Doctor Layton's throat... and the Deputy. Then it grabbed Danny by the head...  And it pulled his head right down into his chest... I couldn't... Hayes lays a hand his shoulder.
Person2: Take it easy, Ruby...
Person1: Did you find a scalpel? Did you find a murder weapon?",0
"Person1: We're making too much of this.
Person2: No, we're not.
Person1: I'm not a lonely spooky writer like you. Nursing a hundred grudges. I'm a man who loves life.
Person2: We're talking about something deeper than grudges. How do we respond to personal attack?",0
"Person1: You looked just like your father... The first time the shark came to Amity....
Person2: I don't want to talk about that.
Person1: It's a terrible thing to know some- thing no one else wants to believe.
Person2: I'm tired of hearing about it. There's no shark.  Sean wasn't killed by the same shark.. Dad didn't die because of it...It's all wrong... Some fantasy you've concocted...You keep bringing it up.",1
"Person1: So how are you doing, dad?
Person2: Great. I've just started a new company. Solid financing. It's good.  I love you Jacko, you know that
Person1: Yes, I know that.
Person2: Don't let yourself down.
Person1: I won't.  Goodbye, dad.",0
"Person1: I helped you not to think about Wally. You were so upset--you couldn't stand worrying about him, about his being killed and not coming back-- but when you were with me, you could stop worrying... well, for a while, anyway. This is how I helped you, right?
Person2: Please... that's enough. I loved you, too--you know I did.
Person1: ""...did."" Well, okay.
Person2: Please don't...
Person1: And now that Wally's coming back, and because he'll certainly need you...
Person2: You say that as though it's some awful thing!  I never stopped loving Wally!",1
"Person1: Why don't I just wait three weeks and tell her I was cleaning out my wallet and found her number...
Person2: ...then ask where you met her...
Person1: Yeah, I'll tell her I don't remember and then I'll ask what she looks like.  Then I'll ask if we messed around. How's that, Tee? Is that ""the money""?",1
"Person1: They didn't teach it at Memorial Hospital.  I had my suspicions, though, about the Directress of Training.
Person2: Very well.  That means that you have met all Mr. Holland's requirements.  Now, as to salary -- it's quite good -- two hundred dollars a month.
Person1: That is good.  But I'd like to know more about the case.
Person2: I'm afraid I'm not able to tell you much. Only that the patient is a young woman -- the wife of a Mr. Paul Holland with whom we do considerable business.
Person1: That will mean another interview, won't it?
Person2: No, this is quite final.  You see, Mr. Holland is a sugar planter.  He lives in St. Sebastian Island in the West Indies.
Person1: The West Indies?
Person2: A year's contract -- a trip with all expenses paid -- that's not so bad, you know.
Person1: But it's so far away...
Person2: That's rather nice, isn't it?",0
"Person1: Last time might as well've been the first.  I remember all the times, don't I.  Watching her grow up --  in increments.
Person2: She told me you were a ghost in her life. Daddy the friendly ghost.  Coming back to haunt her.
Person1: Well, she twigged by the time she was eight or nine that daddy wasn't in the Royal Marines or doing scientific research in the jungles of Borneo or playing Iago in a worldwide tour of OTHELLO.
Person2: Still, you could never ... do what she wanted.",1
"Person1: So, you are William's wild young neighbor?  Or should I say, 'brother'; William claims you as a member of his family.  I have heard so many unflattering tales about you, and I understand, that except for you, this 'family' is quite cultivated.
Person2: George, I'm sorry.
Person1: Oh, but you must not mind my talking about you!  In fact, William says my main job here at Belvoir is to civilize you; to make an honest English gentleman out of you.
Person2: That's not what I said!  Now, Sally, you're embarrassing me!  Watch out for her, George; she talks refinement, but she has a barbarous soul!",1
"Person1: But you gave me a rose ...
Person2: And tomorrow I'll give one to somebody else.  Get dressed.  Get out.
Person1: You shit.  Who do you think you are?
Person2: I'm JP Monroe, you stupid little bitch. Now get out of my life.
Person1: You ... I can't believe you, you bastard!  You get me in here ...
Person2: Right.  Like you were hog-tied or something.",1
"Person1: I don't write the questions.  I just review them.
Person2: What's all this for?
Person1: We want a sense of your overall capabilities, limitations, turn-ons, turn-offs...
Person2: No, I mean, what is it FOR?  What are you selling?
Person1: Oh... it's a game.
Person2: A game?
Person1: Tailored specifically to each participant.  Think of it as a great vacation, except you don't go to it, it comes to you.
Person2: What kind of vacation?
Person1: It's different every time.
Person2: Humor me with specifics.
Person1: We provide whatever's lacking.
Person2: And if nothing's lacking?
Person1: May I make two suggestions... ?
Person2: Do you really expect me to participate without knowing a single thing?
Person1: First, admit to yourself that it sounds intriguing.  Second, you don't have to decide today.  Take the silly tests, fill out the forms.  One day, the game begins.  You either love it or hate it.  Decide then.  We're like an experimental Book-of-the-Month- Club; drop out at any time with no further obligation.  That was my sales pitch.",1
"Person1: Vanderbilt's not that far from U of M.
Person2: Yeah right.
Person1: What?  We both have cars.
Person2: Yeah but, no offense, you're talking about a post-high school, long- distance relationship, and you and Kevin haven't even done it yet.
Person1: That's not why we're going out.
Person2: What the hell are you expecting him to drive to Vanderbilt for?  Milk and cookies?
Person1: Jessica!  He'll drive there for me, and I'll drive to Ann Arbor for him. We're going to have sex when he's ready and I'm ready.  It's got to be completely perfect.  I want the right place, the right time, the right moment.
Person2: Vicky, it's not a space shuttle launch, it's sex.  So did you do the physics write-up?
Person1: Please.",0
"Person1: He's not really my friend.  I just do a job for him now and then.
Person2: Tyrell could help us, Sebastian.
Person1: He could?
Person2: His company made us.
Person1: I'd be happy to mention it to him.
Person2: Be better if I could talk to him in person.  But he's not an easy man to get to.
Person1: No.
Person2: When do you deliver your project?
Person1: This afternoon.",0
"Person1: Wow... .
Person2: What do you weigh these days, slugger?
Person1: ...eight-seven, eighty-eight. What's it to you?
Person2: Gee, when you tipped one seventy-five you were beautiful. You should've been another Billy Conn. That skunk I got to manage you brought you along too fast.
Person1: It wasn't him!  It was you, Charley. You and Johnny. Like the night the two of youse come in the dressing room and says, ""Kid, this ain't your night we're going for the price on Wilson."" It ain't my night. I'd of taken Wilson apart that night! I was ready remember the early rounds throwing them combinations. So what happens This bum Wilson he gets the title shot outdoors in the ballpark!  and what do I get a couple of bucks and a one-way ticket to Palookaville.  It was you, Charley. You was my brother. You should of looked out for me. Instead of making me take them dives for the short-end money.
Person2: I always had a bet down for you. You saw some money.
Person1: See! You don't understand!
Person2: I tried to keep you in good with Johnny.
Person1: You don't understand! I could've been a contender. I could've had class and been somebody. Real class. Instead of a bum, let's face it, which is what I am. It was you, Charley.",1
"Person1: You're out of your mind, you know that!? You're messed up!?
Person2: Just drive.",1
"Person1: Lex...Lex, how could you do that to Otis?
Person2: What else is ballast for?
Person2: How would you like to take a little vacation? I mean you've earned it, you know? You deserve it.
Person1: There is some good in you, Lex, after all.
Person2: You'll have to pack quickly.
Person1: A bikini! I'll need to buy a new bikini, Lex.  C'mon. After being cooped up in that prison, haven't you thought about me in a bikini . . ...once maybe ?
Person2: A parka.
Person1: You thought about me in a parka. That's sick, Lex. Really.
Person2: North!",1
"Person1: You have to help me.  Please, Weaver. Think of all the things I've done for you!
Person2: I can't think of any.
Person1: Well I'm gonna start doing things for you...
Person2: Will you introduce me to some worker girls?
Person1: You bet!  They'll really go for a sensitive guy like you!
Person2: Maybe I'll get lucky.  You know, Z, I wouldn't do this for anyone but you...",1
"Person1: Great. That was our last option. What am I going to do with you?
Person2: Nothing. Thanks for bringing me this far.
Person1: Where are you going? You'll freeze out there. You don't even have a coat.
Person2: I'll manage.
Person1: No, you won't. You'll die of cold out there and then I'll have to feel guilty. And I've already got more guilt than I know what to do with. Do you want something to drink?
Person2: No, I'm ok.",1
"Person1: What about Elliot Harmsway? Or is this just another one of your stunts?
Person2: No! He's crazy - he's insane. He hates everybody. He's got these plans -  You've got to help me, James. I'm sorry. I'm sorry for everything. I know I was wrong - but you've got to protect me. I know you still love -",0
"Person1: Good for you. Why shouldnt you protect whats yours.
Person2: I dont think youre hearing me.
Person1: Oh, Im hearing you, Alan. Thats not the problem. The problem is that what you think is yours, is really mine.  And I dont care how low on the totem pole I start, I will get it back...  So do yourself a favor and dont get too attached to that view because sometime soon, maybe very soon, you and your French country antiques, your chintz sofa, and your little play pen are gonna be moving out of that office.",1
"Person1: Captain... We're waiting. What's the delay?
Person2: All is well, sir. You have the coordinates to beam up Genesis...
Person1: First things first, Captain. Kill Admiral Kirk.",0
"Person1: There's this poem by Rilke, I don't remember the whole thing, but it's about that.  About waiting for that person, and wondering if you'll ever find them.  And the last line of it goes, ""Who knows?  Perhaps the same bird echoed through both of us, yesterday--
Person2: --separate, in the evening...""
Person1: Yes.",0
"Person1: Why, you don't want us to bring him over?
Person2: No, it's that when do you have time to be parents to him? You guys don't pick him up until nine, ten at night. You are into yourselves, as the saying goes. Spend some time trying to be parents. Take him to the mountains, fishing. You ought to let him get to know nature.
Person1: Well, you are his grandfather. He is supposed to spend some time with you. You're supposed to show him those woodsy things and this and that.
Person2: Junior spends time with his child.
Person1: Oh here we go with that.",1
"Person1: Father!
Person2: Neil, you are going to quit this ridiculous play immediately.
Person1: Father, I--",1
"Person1: Yes?
Person2: Is that the Ransom file? Thanks. Don't wear that outfit again.
Person1: Ummm...what? I didn't hear you.
Person2: I said ""Do not wear that outfit again."" Wear a dress. A skirt or something.",1
"Person1: What are you doing out there? Are you crazy?
Person2: There's been a bad accident.
Person1: In English, Enrique. We're in the United States--
Person2: I have some friends who have had a accident--
Person1: You have somebody else out there?
Person2: We was by the river? And I hear my friend callin' for help, and I look and she has falling in the water--
Person1: Don't tell me lies, Enrique. Que paso?
Person2: We was crossin' the river--",0
"Person1: You kiddin? Who else would hack through South Bronx or Harlem at night?
Person2: You want to work uptown nights?
Person1: I'll work anywhere, anytime. I know I can't be choosy.
Person2: How's your driving record?
Person1: Clean. Real clean.  As clean as my conscience.
Person2: Listen, son, you gonna get smart, you can leave right now.
Person1: Sorry, sir. I didn't mean that.
Person2: Physical? Criminal?
Person1: Also clean.
Person2: Age?
Person1: Twenty-six.
Person2: Education?
Person1: Some. Here and there.
Person2: Military record?
Person1: Honorable discharge. May 1971.
Person2: You moonlightin?
Person1: No, I want long shifts.
Person2: We hire a lot of moonlighters here.
Person1: So I hear.
Person2: Hell, we ain't that much fussy anyway. There's always opening on one fleet or another.  Fill out these forms and give them to the girl at the desk, and leave your phone number. You gotta phone?
Person1: No.
Person2: Well then check back tomorrow.
Person1: Yes, Sir.",0
"Person1: Something wrong?
Person2: Are you having an affair?
Person1: Goodness, where'd that come from? I have a late lunch by myself, and now I'm involved with somebody?
Person2: Well, are you?
Person1: No, I'm not. Frankly, I'm offended at the accusation.
Person2: If I'm right, I want to know. I don't want you to lie. I'd be very upset, but not as upset as if I'd found out you'd been lying.
Person1: There's nothing to know, Ann.
Person2: I can't tell you how upset I would be if you were lying.
Person1: Ann, you are completely paranoid. Not ten minutes ago I wanted to make love for the first time in weeks, and you act like I'm dipped in shit. You know, I think there are a lot of women that would be glad to have a young, straight male making a pretty good living beside them in bed with a hard on.
Person2: My sister, for one. Is that who it is?
Person1: For God's sake, Ann, I am not in a relationship with your sister. I don't find her that attractive, for one.
Person2: Is that supposed to comfort me?
Person1: I was just saying, you know? I didn't get paranoid when you didn't want to make love. I could have easily assumed that you didn't want to because you were having an affair.
Person2: But I'm not.
Person1: I'm not either!!
Person2: Why don't I believe you?
Person1: Look, this conversation is utterly ridiculous. Maybe when you have some evidence, we should talk, but don't give me conjecture and intuition.
Person2: Always the lawyer.
Person1: Goddam right. I mean, can you imagine: ""Your honor, I'm positive this man is guilty. I can't place him at the scene or establish a motive, but I have this really strong feeling.""
Person2: You've made your point.
Person1: I'm sorry. It's just... I'm under a lot of pressure with this Kirkland thing, it's my first big case as junior partner, and I work all day, I come home, I look forward to seeing you, and... it hurts that you accuse me like that.",1
"Person1: Why did you go behind my back and discuss my project with the manager?
Person2: I felt there were some issues that needed to be addressed.
Person1: You should have come to me first. Now I look bad in front of the whole team.
Person2: I’m really just trying to help you. I thought bringing it up with the manager would expedite a solution.
Person1: In the future, please talk to me directly. We can handle things together.",1
"Person1: You will distract the bat and bird while I prepare to freeze Gotham.
Person2: Can't we just ice them along with the rest of the citizenry?
Person1: That is far too merciful.  Batman will watch his beloved Gotham perish, then I will kill him.
Person2: As a team, the duncely duo protect each other.  But the Robin is young. Impetuous.  If I could get him alone-
Person1: One kiss and you could lift the mask from his lifeless face.  Their secret identities would be revealed.  But how best to bait a brid?
Person2: The way to a boy's heart is through his ego.  What strapping young hero could resist his very own...signal?
Person1: Inspired, Ms. Ivy.
Person2: I'm hungry.  I think I'll have poultry.",0
"Person1: You're purposely making me talk while we do this...  ...because you think this is good for me...  ...and you're a sadistic bastard...
Person2: Yes.
Person1: ...who thinks there's nothing really wrong with me.
Person2: Oh, there's something wrong with you, all right. Especially after hearing that dream of yours, about the Roto-Rooter.",1
"Person1: Are you playing tricks on me?
Person2: What?
Person1: It's not going to work.  I'm too smart for you.",0
"Person1: It's like nothing I've ever felt before. I think I'm going crazy.
Person2: I'm sure you're not going crazy.
Person1: Kevin, I'm telling you... it was like nothing I've...
Person2: Yeah yeah yeah. Yadda yadda yadda. Were you stoned?
Person1: Yes, but you see, someone else was talking through my mouth.
Person2: You were stoned. Case closed. End of story. How hot is this babe?
Person1: I think it might've been this Lotte woman talking through me. Maxine likes to call me Lotte.
Person2: Ouch. Now that's hot. She's using you to channel some dead lesbian lover. Let me know when you're done with her. This is my type of chick.
Person1: I'm done with her now. Tonight really creeped me out.
Person2: You're crazy to let go of a chick who calls you Lotte. I tell you that as a friend.
Person1: I don't know anything about her. What if she's some sort of witch or something?
Person2: All the better. Hey, Hot Lesbian Witches, next Geraldo, buddy boy. Ha ha ha.
Person1: I gotta know the truth, Kevin.
Person2: The truth is for suckers, Johnny-Boy.",1
"Person1: Daddy, Buddy was up late last night reading little dirty comic books. Mother gave him a dose of castor oil and he cursed it, he took the Lords name in vain, then claimed he hadn't said it. He lied, Daddy.
Person2: You mustn't be a tattletale, dear. You mustn't be Delilah-ish and Jezebel-ish toward your brother, dear.
Person1: I'm only trying to help him, Mother.",1
"Person1: LAX. Go to the Pan Am desk. There will be a ticket waiting for you.
Person2: Where am I going?
Person1: Rio. Flight 306. Departs at eleven PM.
Person2: They serve dinner on the flight?
Person1: It'll be a first class-ticket. I'm sure you'll enjoy the ride. I would recommend staying down there at least a year, Mr. Nugent.
Person2: You've certainly thought this out, haven't you?
Person1: I am not someone who leaves a great deal to chance, Mr. Nugent.
Person2: You sure those doors will be open?
Person1: Yes. All you provide are the gloves, the passport, and the aim. I'll take care of everything else.
Person2: The gun, the money, the tickets, and the dying.
Person1: That's right.
Person2: You sure got the hard part.
Person1: What do you say, Mr. Nugent? You'll be doing me and my family a great service.",0
"Person1: Mary had been there, one night, and had left.
Person2: With the forty thousand dollars?
Person1: He didn't mention the money.  What he said on the phone isn't important, is it?  He was supposed to come back after he spoke to the mother, and he didn't! That's what I want you to do something about!
Person2: Like what?
Person1: Go out there! Find somebody, ask some questions!  I'm sorry if I seem over-anxious to you. I keep thinking... something's wrong. I have to know what!
Person2: I think something's wrong, too, Miss. But not the same thing. I think your private detective is what's wrong.  I think he got himself a hot lead as to where your sister was going... probably from Norman Bates...  and called you to keep you still while he took off after her and the money.
Person1: He said he was dissatisfied... and was going back.",0
"Person1: What's going on?
Person2: I'm going to throw out these old videos.
Person1: No.  You can't bin these.  They're classics.  I'm not allowing this.
Person2: Right -- let's talk about rent...
Person1: Let me help.  We don't want all this shit cluttering up our lives.",1
"Person1: Don't mind what she says, Chris.
Person2: How can I help but mind? I'm constantly humiliated...  just because I haven't money.
Person1: I'll get some.
Person2: You've said that for weeks.
Person1: I know.
Person2: Why don't you go to see Julia? She handles his money.
Person1: Chris!
Person2: All right.  All right.
Person1: I couldn't go near that woman.
Person2: I said all right!",1
"Person1: When I said you being the best salesman here didn't say much, I meant for us. I know your record with Sarber and Webb, and I'd say you're a top-flight man, but you've had no incentive. No one walking on your heels. Just a lot of half asses, so the tendency's been not to stretch yourself. I'm bouncing the slobs, incidentally.
Person2: So I heard.
Person1: Makes no difference to me if they're only on commission. If they don't make good money, they're not giving us good representation, and we can't afford to have them around. Ever supervise salesmen?
Person2: Just myself.
Person1: That's right, you've had to supervise yourself. This place needs a sales manager. Somebody who's proved he's a salesman and can handle other salesmen. He'd have a lot of deadwood to clear out, new men to hire. What do you think?",1
"Person1: Why won't you answer me?
Person2: Cause you know goddamn well who I am.
Person1: I don't know you.
Person2: You've lived with me for two years.
Person1: That doesn't mean shit. Where do you come from, huh? And I don't mean Indiana.
Person2: What do you want me to say? My mother's tummy?
Person1: You know goddamn well what I mean.
Person2: You're out of your mind. I'm not gonna stand around here gettin' interrogated by you.
Person1: Well leave then. Go to Hell.
Person2: You son-of-a-bitch. Who do you think you are? I don't deserve this. Who takes care of you day and night? Who cleans the floor and washes your goddamn underwear? Well, I've had it. You flip out on your own, you ungrateful bastard. I'm done holding your hand. I don't want anything to do with you, you hear? Nothing!",1
"Person1: That's the key to the city of Pasadena, which Mr. Lebowski was given two years ago in recognition of his various civic, uh.
Person2: Uh-huh.
Person1: That's a Los Angeles Chamber of Commerce Business Achiever award, which is given--not necessarily given every year!  Given only when there's a worthy, somebody especially--
Person2: Hey, is this him with Nancy?
Person1: That is indeed Mr. Lebowski with the first lady, yes, taken when--
Person2: Lebowski on the right?
Person1: Of course, Mr. Lebowski on the right, Mrs.  Reagan on the left, taken when--
Person2: He's handicapped, huh?
Person1: Mr. Lebowski is disabled, yes.  And this picture was taken when Mrs. Reagan was first lady of the nation, yes, yes? Not of California.
Person2: Far out.
Person1: And in fact he met privately with the President, though unfortunately there wasn't time for a photo opportunity.
Person2: Nancy's pretty good.
Person1: Wonderful woman.  We were very--
Person2: Are these.
Person1: These are Mr. Lebowski's children, so to speak--
Person2: Different mothers, huh?
Person1: No, they--
Person2: I guess he's pretty, uh, racially pretty cool--
Person1: They're not his, heh-heh, they're not literally his children; they're the Little Lebowski Urban Achievers, inner-city children of promise but without the--
Person2: I see.
Person1: --without  the means  for higher education, so Mr. Lebowski  has committed  to sending  all of them to college.
Person2: Jeez.  Think he's got room for one more?
Person1: One--oh!  Heh-heh.  You never went to college?
Person2: Well, yeah I did, but I spent most of my time occupying various, um, administration buildings--
Person1: Heh-heh--
Person2: --smoking thai-stick, breaking into the ROTC--
Person1: Yes, heh--
Person2: --and bowling.  I'll tell you the truth, Brandt, I don't remember most of it.--Jeez!  Fuck me!",0
